city,state,country,type,lat,lon,date
Austin,,US,Emberitas Maven Summer Tech Camp Django Girls Austin Sponsorship,30.267153,-97.7430608,
Bangalore,,India,Django Girls Bangalore Sponsorship,12.9715987,77.5945627,
Barcelona,,Spain,Django Girls Barcelona Sponsorship,41.3850639,2.1734035,
Batavia,,US,STEM Conference for Latina Girls Sponsorship,41.8500284,-88.3125738,
Belfast,,UK,Django Girls Belfast Sponsorship,54.597285,-5.93012,
Belo Horizonte,,Brazil,Rails Girls Belo Horizonte Sponsorship,-19.9166813,-43.9344931,
Boulder,,US,Women Who Code Boulder Maven Summer Tech Camp Creekside Elementary coding classes Sponsorship,40.0149856,-105.2705456,
Brisbane,,Australia,Django Girls Brisbane Sponsorship,-27.4697707,153.0251235,
California City,,US,GX3 Sponsorship,35.125801,-117.9859038,
Cambridge,,US,MIT DfA chapter Girls Who Build: Camera’s Sponsorship,42.3736158,-71.1097335,
Chicago,,US,Coding While Black Write/Speak/Code Rails Girls Chicago Latina Girls Code Sponsorship,41.8781136,-87.6297982,
Cincinnati,,US,Git Real! Women Who Code Cincinnato Sponsorship,39.1031182,-84.5120196,
Coventry,,UK,Django Girls Conventry Sponsorship,52.406822,-1.519693,
Cupertino,,US,Teen Hack-a-thon Sponsorship,37.3229978,-122.0321823,
Detroit,,US,RailsBridge Detroit Sponsorship,42.331427,-83.0457538,
Dublin,,Ireland,AlterConf Sponsorship,53.3498053,-6.2603097,
Frankfurt,,Germany,Rails Girls Frankfurt Sponsorship,50.1109221,8.6821267,
Harare,,Zimbabwe,Django Girls Harare Sponsorship,-17.8251657,31.03351,
Herat,,Afghanistan,Code to Inspire Sponsorship,34.352865,62.2040287,
Houston,,US,Grace Hopper Conference Sponsorship,29.7604267,-95.3698028,
Hyderabad,,India,The Geek Angel's HackDay Sponsorship,17.385044,78.486671,
Ibadan,,Nigeria,Rails Girls Ibadan Sponsorship,7.3775355,3.9470396,
Ilfe,,Nigeria,Django Girls OAU Sponsorship,7.4039447,4.2300796,
Kobe,,Japan,Rails Girls Kobe Sponsorship,34.690083,135.1955112,
Kuching,,Malaysia,Rails Girls Kuching Sponsorship,1.6076812,110.3785438,
Lagos,,Nigeria,Rails Girls Lagos Django Girls Lagos Sponsorship,6.5243793,3.3792057,
Lahore,,Pakistan,Django Girls Lahore Sponsorship,31.5546061,74.3571581,
Leman,,Switzerland,Rails Girls Leman Sponsorship,46.2043907,6.1431577,
London,,UK,Nuanced Dinners Sponsorship,51.5073509,-0.1277583,
Los Angeles,,US,CS@CS Summercamps Sponsorship,34.0522342,-118.2436849,
Manchester,,UK,Rails Girls Manchester Sponsorship,53.4807593,-2.2426305,
M_rida,,Mexico,Women Who Code Merida Sponsorship,20.9673702,-89.5925857,
Mexico City,,Mexico,Hack for Equality Sponsorship,19.4326077,-99.133208,
Minna,,Nigeria,Django Girls Minna Sponsorship,9.5835546,6.5463156,
Mountain View,,US,She's Geeky Sponsorship,37.3860517,-122.0838511,
New York City,,US,Django Girls NYC Write/Speak/Code NYC Maven Summer Tech Camp RailsBridge NYC Lesbians Who Tech NYC Summit GoBridge Sponsorship,40.7127837,-74.0059413,
North Virginia,,US,CODETday Sponsorship,37.4783967,-76.4530772,
Novi Sad,,Serbia,Django Girls Novi Sad Sponsorship,45.2671352,19.8335496,
Oakland,,US,Brioxy Sponsorship,37.8043637,-122.2711137,
Ogbomosho,,Nigeria,Django Girls Ogbomosho Sponsorship,8.1227496,4.2435893,
Okayama,,Japan,Rails Girls Okayama Sponsorship,34.6551456,133.9195019,
Osaka,,Japan,Rails Girls Osaka Sponsorship,34.6937378,135.5021651,
Ota,,Nigeria,Django Girls Ota Sponsorship,6.6748811,6.6748811,
Port Harcourt,,Nigeria,Rails Girls Port Harcourt Django Girls Port Harcourt Sponsorship,4.815554,7.0498442,
Porto Alegre,,Brazil,Django Girls Porto Alegre Sponsorship,-30.0346471,-51.2176584,
Poznan,,Poland,Rails Girls Poznan Sponsorship,52.406374,16.9251681,
Pune,,India,Django Girls Pune Sponsorship,18.5204303,73.8567437,
Rome,,Italy,Django Girls Rome Sponsorship,41.9027835,12.4963655,
San Antonio,,US,Rails Girls San Antonio Sponsorship,29.4241219,-98.4936282,
San Francisco,,US,"Out For Undergrad Maven Summer Tech Camp Apps for Change Last Change Hackathon Tech Inclusion Holiday Party Ola Initiative Hoiday Party, CODE2040 Sponsorship",37.7749295,-122.4194155,
Seoul,,South Korea,Django Girls Seoul Sponsorship,37.566535,126.9779692,
Sydney,,Australia,Rails Girls Sydney Sponsorship,-33.8688197,151.2092955,
Tempe,,US,Society of Hispanic Professional Engineers - Tech Track at Regional Conference Sponsorship,33.4255104,-111.9400054,
Tokyo,,Japan,Rails Girls Tokyo Sponsorship,35.6894875,139.6917064,
Toronto,,Canada,BreakPoverty Sponsorship,43.653226,-79.3831843,
Toyama,,Japan,Rails Girls Toyama Sponsorship,36.6959518,137.2136768,
Turin,,Italy,Django Girls Turin Sponsorship,45.070312,7.6868565,
Vienna,,Austria,Rails Girls Vienna Sponsorship,48.2081743,16.3738189,
Virginia,,US,Ruby for Good Sponsorship,37.4315734,-78.6568942,
Washington DC,,US,DC FemTech Awards Sponsorship,38.9071923,-77.0368707,
Windhoek,,Namibia,Django Girls Windhoek Sponsorship,-22.5608807,17.0657549,
San Francisco,,,GitHub Universe,37.7749295,-122.4194155,
New York City,,,Git Merge,40.7127837,-74.0059413,
Amsterdam,,,GitHub Satellite,52.3702157,4.8951679,
Los Angeles,,,CodeConfLA,34.0522342,-118.2436849,
